M = 1
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
 59    9.1    1.63195        9
 60    9.06   1.89962        9
 61    9.02   1.58423        9
 62    9.46   2.1016         9
 63    9.12   1.79159        9
 64    8.44   1.3118         8
 65    8.48   1.74075        8
 66    8.36   1.65073        8
 67    8.4    1.42857        8
 68    8.48   1.35887        8
 69    8.4    1.85164        8
 70    8.64   1.5748         8
 71    8.14   1.73805        8
 72    7.58   1.14446        7
 73    7.88   1.52047        7.5
 74    7.7    1.37396        8
 75    7.78   1.4886         8
 76    7.48   1.37381        7
 77    7.5    1.51523        7
 78    7.3    0.994885       7
 79    7.64   1.33646        7
 80    7.32   1.25259        7
 81    7.2    1.08797        7
 82    7.54   1.32803        7.5
 83    7.2    1.41421        7
 84    7.1    1.09265        7
 85    6.9    1.3132         7
 86    6.84   1.28349        7
 87    7.04   1.47025        7
 88    6.92   1.04667        7
 89    7.12   1.37974        7
 90    6.92   1.4119         7
 91    6.8    1.17803        7
 92    6.68   1.3468         6.5
 93    6.74   1.04608        7
 94    6.96   1.26103        7
 95    6.52   1.18218        6
 96    6.44   0.993037       6
 97    6.54   1.0919         6
 98    6.6    1.01015        6
 99    6.52   1.28158        6
100    6.28   1.01096        6
===  ======  =========  ========
M = 9
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
  2  246.18  56.14         239
  3  159.04  33.1736       151
  4  120.78  26.8976       117
  5   93.88  16.3678        92.5
  6   76.12  13.3013        78.5
  7   68.9   15.1027        65.5
  8   57.78   9.85878       56.5
  9   52.98  11.4277        51.5
 10   50.38  10.5616        48
 11   43.04  10.3726        41
 12   40.42   8.02824       40
 13   37.68   8.66953       37
 14   33.18   6.63537       33.5
 15   30.46   6.67988       29.5
 16   30      6.42381       28.5
 17   27.58   5.06323       27
 18   25.9    5.25376       25
 19   25.4    5.97956       25
 20   24.24   4.0232        24
 21   23.64   5.91698       21
 22   20.76   3.69534       20
 23   21.34   4.74926       20
 24   21.64   4.9888        21
 25   20.38   5.00567       19
 26   19.44   3.83411       19
 27   19.92   4.07501       19.5
 28   17.56   4.01609       17
 29   18.18   4.36447       17
 30   17.1    4.12187       16
 31   17.06   3.152         17
 32   16.06   3.70003       15
 33   15.76   3.93602       14.5
 34   14.46   2.28759       14
 35   13.96   2.81367       14
 36   14.56   2.36609       14
 37   14.02   3.02027       13.5
 38   13.22   2.72771       13
 39   13.36   3.00856       12
 40   12.92   2.86314       13
 41   12.5    1.92989       12
 42   12.7    2.71241       12
 43   11.98   2.32546       12
 44   11.86   2.24072       11
 45   11.64   2.57745       11
 46   11.02   2.00499       11
 47   11.48   2.77922       11
 48   10.84   2.18865       10
 49   11.04   2.33832       11
 50   10.18   1.74602       10
 51   10.9    2.42647       10
 52   10.2    2.25877       10
 53   10.18   2.21949       10
 54   10.1    2.07266       10
 55   10.14   2.03048       10
 56    9.32   1.25259        9
 57    9.62   1.72485        9
 58    9.54   2.09187        9
 59    9.8    1.81827       10
 60    9.1    1.51523        9
 61    9.1    2.21544        8.5
 62    9.08   1.44052        9
 63    9.06   1.68317        9
 64    8.86   1.66611        9
 65    8.8    1.98977        8
 66    8.72   1.88485        8
 67    8.28   1.32542        8
 68    8.28   2.00041        8
 69    8.18   1.85923        8
 70    8.02   1.51846        8
 71    8.1    1.29756        8
 72    8      1.56492        8
 73    7.46   1.2811         7
 74    7.44   1.35767        7
 75    7.62   1.4831         7
